Month,Parameter,Lower_Bound,Upper_Bound
1,Gamma,0.017706602,0.026346762
2,Gamma,0.019958675,0.028598835
3,Gamma,0.024896119,0.033536279
4,Gamma,0.026490193,0.035130354
5,Gamma,0.067071767,0.075711928
6,Gamma,0.08508001,0.09372017
7,Gamma,0.05798535,0.066625511
8,Gamma,0.053887553,0.062527714
9,Gamma,0.040795558,0.049435719
10,Gamma,0.027703563,0.036343723
11,Gamma,0.030025437,0.038665598
12,Gamma,0.014967846,0.023608006
1,Theta,0.297133406,0.541610967
2,Theta,0.691267405,0.935744965
3,Theta,0.688149232,0.932626792
4,Theta,1.2084791,1.452956661
5,Theta,1.283226366,1.527703926
6,Theta,2.247606391,2.492083951
7,Theta,2.92739401,3.171871571
8,Theta,1.287288102,1.531765663
9,Theta,0.954234378,1.198711938
10,Theta,0.621180654,0.865658214
11,Theta,0.543859955,0.788337515
12,Theta,0.451969262,0.696446823
1,Kappa,0.627921507,0.773782823
2,Kappa,0.76669703,0.912558346
3,Kappa,0.704041113,0.849902429
4,Kappa,0.622312961,0.768174277
5,Kappa,0.556831977,0.702693293
6,Kappa,0.56680367,0.712664986
7,Kappa,0.634527405,0.780388721
8,Kappa,0.578849261,0.724710577
9,Kappa,0.592409179,0.738270495
10,Kappa,0.685974699,0.831836015
11,Kappa,0.756883958,0.902745274
12,Kappa,0.783258293,0.929119609
